date=05-12-2024, time=10:08:23, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425489077
date=05-12-2024, time=10:35:38, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425485876
date=05-12-2024, time=10:35:41, id=18, deviceList=111111000000000000000000, readList=100000000000000000000000, code=0425485877
date=05-12-2024, time=10:35:43, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=10:35:46, id=18, deviceList=111111000000000000000000, readList=001111000000000000000000, code=0425485878
date=05-12-2024, time=10:35:48, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425485879
date=05-12-2024, time=10:35:51, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425485880
date=05-12-2024, time=10:36:51, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0316106321
date=05-12-2024, time=10:38:11, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=10:51:00, id=18, deviceList=111111000000000000000000, readList=100001000000000000000000, code=0425485889
date=05-12-2024, time=11:03:07, id=18, deviceList=111111000000000000000000, readList=110001000000000000000000, code=0425490781
date=05-12-2024, time=11:06:50, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425489473
date=05-12-2024, time=11:21:49, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425435084
date=05-12-2024, time=11:34:10, id=18, deviceList=111111000000000000000000, readList=011111000000000000000000, code=0425492309
date=05-12-2024, time=11:35:09, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0298165882
date=05-12-2024, time=11:35:12, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=11:35:14, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425489462
date=05-12-2024, time=11:35:15, id=18, deviceList=111111000000000000000000, readList=011010000000000000000000, code=0425492311
date=05-12-2024, time=11:35:17, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0425489463
date=05-12-2024, time=11:35:19, id=18, deviceList=111111000000000000000000, readList=001101000000000000000000, code=0425489464
date=05-12-2024, time=11:35:20, id=18, deviceList=111111000000000000000000, readList=001111000000000000000000, code=0425489465
date=05-12-2024, time=11:35:22, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0425489466
